2023-03-31 19:08:45,542 - ClientTrainer - INFO - Round 0 selected clients: [2, 3, 8]
2023-03-31 19:08:45,602 - ClientTrainer - INFO - Round 0 client-2 local train epoch [0/5]
2023-03-31 19:08:49,206 - ClientTrainer - INFO - Round 0 client-2 local train epoch [1/5]
2023-03-31 19:08:50,387 - ClientTrainer - INFO - Round 0 client-2 local train epoch [2/5]
2023-03-31 19:08:51,876 - ClientTrainer - INFO - Round 0 client-2 local train epoch [3/5]
2023-03-31 19:08:53,022 - ClientTrainer - INFO - Round 0 client-2 local train epoch [4/5]
2023-03-31 19:08:56,687 - ClientTrainer - INFO - Round 0 client-2 local test accuracy: 10.00%
2023-03-31 19:08:56,907 - ClientTrainer - INFO - Round 0 client-3 local train epoch [0/5]
2023-03-31 19:08:59,202 - ClientTrainer - INFO - Round 0 client-3 local train epoch [1/5]
2023-03-31 19:09:01,778 - ClientTrainer - INFO - Round 0 client-3 local train epoch [2/5]
2023-03-31 19:09:04,563 - ClientTrainer - INFO - Round 0 client-3 local train epoch [3/5]
2023-03-31 19:09:07,210 - ClientTrainer - INFO - Round 0 client-3 local train epoch [4/5]
2023-03-31 19:09:11,129 - ClientTrainer - INFO - Round 0 client-3 local test accuracy: 18.11%
2023-03-31 19:09:11,264 - ClientTrainer - INFO - Round 0 client-8 local train epoch [0/5]
2023-03-31 19:09:12,562 - ClientTrainer - INFO - Round 0 client-8 local train epoch [1/5]
2023-03-31 19:09:14,327 - ClientTrainer - INFO - Round 0 client-8 local train epoch [2/5]
2023-03-31 19:09:15,774 - ClientTrainer - INFO - Round 0 client-8 local train epoch [3/5]
2023-03-31 19:09:16,885 - ClientTrainer - INFO - Round 0 client-8 local train epoch [4/5]
2023-03-31 19:09:20,367 - ClientTrainer - INFO - Round 0 client-8 local test accuracy: 10.00%
2023-03-31 19:09:23,966 - ClientTrainer - INFO - Round 1 selected clients: [1, 5, 7]
2023-03-31 19:09:24,109 - ClientTrainer - INFO - Round 1 client-1 local train epoch [0/5]
2023-03-31 19:09:26,487 - ClientTrainer - INFO - Round 1 client-1 local train epoch [1/5]
2023-03-31 19:09:28,279 - ClientTrainer - INFO - Round 1 client-1 local train epoch [2/5]
2023-03-31 19:09:30,694 - ClientTrainer - INFO - Round 1 client-1 local train epoch [3/5]
2023-03-31 19:09:33,076 - ClientTrainer - INFO - Round 1 client-1 local train epoch [4/5]
2023-03-31 19:09:37,074 - ClientTrainer - INFO - Round 1 client-1 local test accuracy: 22.97%
2023-03-31 19:09:37,231 - ClientTrainer - INFO - Round 1 client-5 local train epoch [0/5]
2023-03-31 19:09:39,598 - ClientTrainer - INFO - Round 1 client-5 local train epoch [1/5]
2023-03-31 19:09:42,056 - ClientTrainer - INFO - Round 1 client-5 local train epoch [2/5]
2023-03-31 19:09:44,351 - ClientTrainer - INFO - Round 1 client-5 local train epoch [3/5]
2023-03-31 19:09:46,611 - ClientTrainer - INFO - Round 1 client-5 local train epoch [4/5]
2023-03-31 19:09:50,536 - ClientTrainer - INFO - Round 1 client-5 local test accuracy: 10.00%
2023-03-31 19:09:50,624 - ClientTrainer - INFO - Round 1 client-7 local train epoch [0/5]
2023-03-31 19:09:51,606 - ClientTrainer - INFO - Round 1 client-7 local train epoch [1/5]
2023-03-31 19:09:52,874 - ClientTrainer - INFO - Round 1 client-7 local train epoch [2/5]
2023-03-31 19:09:54,215 - ClientTrainer - INFO - Round 1 client-7 local train epoch [3/5]
2023-03-31 19:09:55,547 - ClientTrainer - INFO - Round 1 client-7 local train epoch [4/5]
2023-03-31 19:09:58,286 - ClientTrainer - INFO - Round 1 client-7 local test accuracy: 10.00%
2023-03-31 19:10:00,377 - ClientTrainer - INFO - Round 2 selected clients: [0, 7, 9]
2023-03-31 19:10:00,466 - ClientTrainer - INFO - Round 2 client-0 local train epoch [0/5]
2023-03-31 19:10:01,622 - ClientTrainer - INFO - Round 2 client-0 local train epoch [1/5]
2023-03-31 19:10:03,046 - ClientTrainer - INFO - Round 2 client-0 local train epoch [2/5]
2023-03-31 19:10:04,690 - ClientTrainer - INFO - Round 2 client-0 local train epoch [3/5]
2023-03-31 19:10:06,402 - ClientTrainer - INFO - Round 2 client-0 local train epoch [4/5]
2023-03-31 19:10:09,865 - ClientTrainer - INFO - Round 2 client-0 local test accuracy: 18.31%
2023-03-31 19:10:09,924 - ClientTrainer - INFO - Round 2 client-7 local train epoch [0/5]
2023-03-31 19:10:11,257 - ClientTrainer - INFO - Round 2 client-7 local train epoch [1/5]
2023-03-31 19:10:12,522 - ClientTrainer - INFO - Round 2 client-7 local train epoch [2/5]
2023-03-31 19:10:13,405 - ClientTrainer - INFO - Round 2 client-7 local train epoch [3/5]
2023-03-31 19:10:14,638 - ClientTrainer - INFO - Round 2 client-7 local train epoch [4/5]
2023-03-31 19:10:17,367 - ClientTrainer - INFO - Round 2 client-7 local test accuracy: 10.00%
2023-03-31 19:10:17,628 - ClientTrainer - INFO - Round 2 client-9 local train epoch [0/5]
2023-03-31 19:10:21,174 - ClientTrainer - INFO - Round 2 client-9 local train epoch [1/5]
2023-03-31 19:10:24,781 - ClientTrainer - INFO - Round 2 client-9 local train epoch [2/5]
2023-03-31 19:10:28,267 - ClientTrainer - INFO - Round 2 client-9 local train epoch [3/5]
2023-03-31 19:10:31,952 - ClientTrainer - INFO - Round 2 client-9 local train epoch [4/5]
2023-03-31 19:10:37,705 - ClientTrainer - INFO - Round 2 client-9 local test accuracy: 18.80%
