2023-03-31 16:20:27,738 - ClientTrainer - INFO - Round 0 selected clients: [2, 3, 8]
2023-03-31 16:20:27,775 - ClientTrainer - INFO - Round 0 client-2 local train epoch [0/5]
2023-03-31 16:20:28,877 - ClientTrainer - INFO - Round 0 client-2 local train epoch [1/5]
2023-03-31 16:20:29,489 - ClientTrainer - INFO - Round 0 client-2 local train epoch [2/5]
2023-03-31 16:20:30,059 - ClientTrainer - INFO - Round 0 client-2 local train epoch [3/5]
2023-03-31 16:20:30,691 - ClientTrainer - INFO - Round 0 client-2 local train epoch [4/5]
2023-03-31 16:20:33,490 - ClientTrainer - INFO - Round 0 client-2 local test accuracy: 10.00%
2023-03-31 16:20:33,510 - ClientTrainer - INFO - Round 0 client-3 local train epoch [0/5]
2023-03-31 16:20:33,971 - ClientTrainer - INFO - Round 0 client-3 local train epoch [1/5]
2023-03-31 16:20:34,394 - ClientTrainer - INFO - Round 0 client-3 local train epoch [2/5]
2023-03-31 16:20:34,816 - ClientTrainer - INFO - Round 0 client-3 local train epoch [3/5]
2023-03-31 16:20:35,225 - ClientTrainer - INFO - Round 0 client-3 local train epoch [4/5]
2023-03-31 16:20:37,322 - ClientTrainer - INFO - Round 0 client-3 local test accuracy: 10.26%
2023-03-31 16:20:37,355 - ClientTrainer - INFO - Round 0 client-8 local train epoch [0/5]
2023-03-31 16:20:37,759 - ClientTrainer - INFO - Round 0 client-8 local train epoch [1/5]
2023-03-31 16:20:38,165 - ClientTrainer - INFO - Round 0 client-8 local train epoch [2/5]
2023-03-31 16:20:38,564 - ClientTrainer - INFO - Round 0 client-8 local train epoch [3/5]
2023-03-31 16:20:38,986 - ClientTrainer - INFO - Round 0 client-8 local train epoch [4/5]
2023-03-31 16:20:41,078 - ClientTrainer - INFO - Round 0 client-8 local test accuracy: 10.00%
2023-03-31 16:20:43,000 - ClientTrainer - INFO - Round 1 selected clients: [1, 5, 7]
2023-03-31 16:20:43,875 - ClientTrainer - INFO - Round 1 client-1 local train epoch [0/5]
2023-03-31 16:20:58,126 - ClientTrainer - INFO - Round 1 client-1 local train epoch [1/5]
2023-03-31 16:21:12,979 - ClientTrainer - INFO - Round 1 client-1 local train epoch [2/5]
2023-03-31 16:21:27,962 - ClientTrainer - INFO - Round 1 client-1 local train epoch [3/5]
2023-03-31 16:21:43,283 - ClientTrainer - INFO - Round 1 client-1 local train epoch [4/5]
2023-03-31 16:21:59,798 - ClientTrainer - INFO - Round 1 client-1 local test accuracy: 35.55%
2023-03-31 16:21:59,934 - ClientTrainer - INFO - Round 1 client-5 local train epoch [0/5]
2023-03-31 16:22:00,493 - ClientTrainer - INFO - Round 1 client-5 local train epoch [1/5]
2023-03-31 16:22:01,029 - ClientTrainer - INFO - Round 1 client-5 local train epoch [2/5]
2023-03-31 16:22:01,559 - ClientTrainer - INFO - Round 1 client-5 local train epoch [3/5]
2023-03-31 16:22:02,065 - ClientTrainer - INFO - Round 1 client-5 local train epoch [4/5]
2023-03-31 16:22:04,501 - ClientTrainer - INFO - Round 1 client-5 local test accuracy: 10.37%
2023-03-31 16:22:04,575 - ClientTrainer - INFO - Round 1 client-7 local train epoch [0/5]
2023-03-31 16:22:06,058 - ClientTrainer - INFO - Round 1 client-7 local train epoch [1/5]
2023-03-31 16:22:07,248 - ClientTrainer - INFO - Round 1 client-7 local train epoch [2/5]
2023-03-31 16:22:08,800 - ClientTrainer - INFO - Round 1 client-7 local train epoch [3/5]
2023-03-31 16:22:10,286 - ClientTrainer - INFO - Round 1 client-7 local train epoch [4/5]
2023-03-31 16:22:13,839 - ClientTrainer - INFO - Round 1 client-7 local test accuracy: 11.69%
2023-03-31 16:22:15,396 - ClientTrainer - INFO - Round 2 selected clients: [0, 7, 9]
2023-03-31 16:22:15,426 - ClientTrainer - INFO - Round 2 client-0 local train epoch [0/5]
2023-03-31 16:22:15,933 - ClientTrainer - INFO - Round 2 client-0 local train epoch [1/5]
2023-03-31 16:22:16,450 - ClientTrainer - INFO - Round 2 client-0 local train epoch [2/5]
2023-03-31 16:22:17,051 - ClientTrainer - INFO - Round 2 client-0 local train epoch [3/5]
2023-03-31 16:22:17,609 - ClientTrainer - INFO - Round 2 client-0 local train epoch [4/5]
2023-03-31 16:22:19,800 - ClientTrainer - INFO - Round 2 client-0 local test accuracy: 30.55%
2023-03-31 16:22:19,878 - ClientTrainer - INFO - Round 2 client-7 local train epoch [0/5]
2023-03-31 16:22:21,407 - ClientTrainer - INFO - Round 2 client-7 local train epoch [1/5]
2023-03-31 16:22:22,723 - ClientTrainer - INFO - Round 2 client-7 local train epoch [2/5]
2023-03-31 16:22:24,265 - ClientTrainer - INFO - Round 2 client-7 local train epoch [3/5]
2023-03-31 16:22:25,437 - ClientTrainer - INFO - Round 2 client-7 local train epoch [4/5]
2023-03-31 16:22:28,892 - ClientTrainer - INFO - Round 2 client-7 local test accuracy: 35.52%
2023-03-31 16:22:28,957 - ClientTrainer - INFO - Round 2 client-9 local train epoch [0/5]
2023-03-31 16:22:29,707 - ClientTrainer - INFO - Round 2 client-9 local train epoch [1/5]
2023-03-31 16:22:30,377 - ClientTrainer - INFO - Round 2 client-9 local train epoch [2/5]
2023-03-31 16:22:31,100 - ClientTrainer - INFO - Round 2 client-9 local train epoch [3/5]
2023-03-31 16:22:31,833 - ClientTrainer - INFO - Round 2 client-9 local train epoch [4/5]
2023-03-31 16:22:34,327 - ClientTrainer - INFO - Round 2 client-9 local test accuracy: 25.10%
