2023-03-31 16:25:11,612 - ClientTrainer - INFO - Round 0 selected clients: [2, 3, 8]
2023-03-31 16:25:11,721 - ClientTrainer - INFO - Round 0 client-2 local train epoch [0/5]
2023-03-31 16:25:14,754 - ClientTrainer - INFO - Round 0 client-2 local train epoch [1/5]
2023-03-31 16:25:17,012 - ClientTrainer - INFO - Round 0 client-2 local train epoch [2/5]
2023-03-31 16:25:18,946 - ClientTrainer - INFO - Round 0 client-2 local train epoch [3/5]
2023-03-31 16:25:21,049 - ClientTrainer - INFO - Round 0 client-2 local train epoch [4/5]
2023-03-31 16:25:25,813 - ClientTrainer - INFO - Round 0 client-2 local test accuracy: 15.89%
2023-03-31 16:25:25,951 - ClientTrainer - INFO - Round 0 client-3 local train epoch [0/5]
2023-03-31 16:25:28,417 - ClientTrainer - INFO - Round 0 client-3 local train epoch [1/5]
2023-03-31 16:25:30,621 - ClientTrainer - INFO - Round 0 client-3 local train epoch [2/5]
2023-03-31 16:25:32,608 - ClientTrainer - INFO - Round 0 client-3 local train epoch [3/5]
2023-03-31 16:25:34,886 - ClientTrainer - INFO - Round 0 client-3 local train epoch [4/5]
2023-03-31 16:25:38,760 - ClientTrainer - INFO - Round 0 client-3 local test accuracy: 18.29%
2023-03-31 16:25:38,899 - ClientTrainer - INFO - Round 0 client-8 local train epoch [0/5]
2023-03-31 16:25:40,930 - ClientTrainer - INFO - Round 0 client-8 local train epoch [1/5]
2023-03-31 16:25:43,207 - ClientTrainer - INFO - Round 0 client-8 local train epoch [2/5]
2023-03-31 16:25:45,504 - ClientTrainer - INFO - Round 0 client-8 local train epoch [3/5]
2023-03-31 16:25:47,632 - ClientTrainer - INFO - Round 0 client-8 local train epoch [4/5]
2023-03-31 16:25:51,275 - ClientTrainer - INFO - Round 0 client-8 local test accuracy: 15.97%
2023-03-31 16:25:54,179 - ClientTrainer - INFO - Round 1 selected clients: [1, 5, 7]
2023-03-31 16:25:54,295 - ClientTrainer - INFO - Round 1 client-1 local train epoch [0/5]
2023-03-31 16:25:56,377 - ClientTrainer - INFO - Round 1 client-1 local train epoch [1/5]
2023-03-31 16:25:58,483 - ClientTrainer - INFO - Round 1 client-1 local train epoch [2/5]
2023-03-31 16:26:00,972 - ClientTrainer - INFO - Round 1 client-1 local train epoch [3/5]
2023-03-31 16:26:03,394 - ClientTrainer - INFO - Round 1 client-1 local train epoch [4/5]
2023-03-31 16:26:07,070 - ClientTrainer - INFO - Round 1 client-1 local test accuracy: 23.32%
2023-03-31 16:26:07,210 - ClientTrainer - INFO - Round 1 client-5 local train epoch [0/5]
2023-03-31 16:26:09,664 - ClientTrainer - INFO - Round 1 client-5 local train epoch [1/5]
2023-03-31 16:26:12,056 - ClientTrainer - INFO - Round 1 client-5 local train epoch [2/5]
2023-03-31 16:26:14,481 - ClientTrainer - INFO - Round 1 client-5 local train epoch [3/5]
2023-03-31 16:26:16,752 - ClientTrainer - INFO - Round 1 client-5 local train epoch [4/5]
2023-03-31 16:26:21,239 - ClientTrainer - INFO - Round 1 client-5 local test accuracy: 20.02%
2023-03-31 16:26:21,382 - ClientTrainer - INFO - Round 1 client-7 local train epoch [0/5]
2023-03-31 16:26:23,629 - ClientTrainer - INFO - Round 1 client-7 local train epoch [1/5]
2023-03-31 16:26:26,190 - ClientTrainer - INFO - Round 1 client-7 local train epoch [2/5]
2023-03-31 16:26:28,459 - ClientTrainer - INFO - Round 1 client-7 local train epoch [3/5]
2023-03-31 16:26:30,863 - ClientTrainer - INFO - Round 1 client-7 local train epoch [4/5]
2023-03-31 16:26:35,376 - ClientTrainer - INFO - Round 1 client-7 local test accuracy: 19.35%
2023-03-31 16:26:37,861 - ClientTrainer - INFO - Round 2 selected clients: [0, 7, 9]
2023-03-31 16:26:37,983 - ClientTrainer - INFO - Round 2 client-0 local train epoch [0/5]
2023-03-31 16:26:40,296 - ClientTrainer - INFO - Round 2 client-0 local train epoch [1/5]
2023-03-31 16:26:42,801 - ClientTrainer - INFO - Round 2 client-0 local train epoch [2/5]
2023-03-31 16:26:45,266 - ClientTrainer - INFO - Round 2 client-0 local train epoch [3/5]
2023-03-31 16:26:47,566 - ClientTrainer - INFO - Round 2 client-0 local train epoch [4/5]
2023-03-31 16:26:52,044 - ClientTrainer - INFO - Round 2 client-0 local test accuracy: 29.09%
2023-03-31 16:26:52,170 - ClientTrainer - INFO - Round 2 client-7 local train epoch [0/5]
2023-03-31 16:26:54,613 - ClientTrainer - INFO - Round 2 client-7 local train epoch [1/5]
2023-03-31 16:26:56,927 - ClientTrainer - INFO - Round 2 client-7 local train epoch [2/5]
2023-03-31 16:26:58,872 - ClientTrainer - INFO - Round 2 client-7 local train epoch [3/5]
2023-03-31 16:27:01,345 - ClientTrainer - INFO - Round 2 client-7 local train epoch [4/5]
2023-03-31 16:27:05,661 - ClientTrainer - INFO - Round 2 client-7 local test accuracy: 23.58%
2023-03-31 16:27:05,809 - ClientTrainer - INFO - Round 2 client-9 local train epoch [0/5]
2023-03-31 16:27:07,835 - ClientTrainer - INFO - Round 2 client-9 local train epoch [1/5]
2023-03-31 16:27:10,014 - ClientTrainer - INFO - Round 2 client-9 local train epoch [2/5]
2023-03-31 16:27:12,374 - ClientTrainer - INFO - Round 2 client-9 local train epoch [3/5]
2023-03-31 16:27:14,556 - ClientTrainer - INFO - Round 2 client-9 local train epoch [4/5]
2023-03-31 16:27:18,825 - ClientTrainer - INFO - Round 2 client-9 local test accuracy: 23.03%
