2023-03-31 16:27:16,629 - ClientTrainer - INFO - Round 0 selected clients: [2, 3, 8]
2023-03-31 16:27:16,701 - ClientTrainer - INFO - Round 0 client-2 local train epoch [0/5]
2023-03-31 16:27:18,431 - ClientTrainer - INFO - Round 0 client-2 local train epoch [1/5]
2023-03-31 16:27:19,657 - ClientTrainer - INFO - Round 0 client-2 local train epoch [2/5]
2023-03-31 16:27:20,913 - ClientTrainer - INFO - Round 0 client-2 local train epoch [3/5]
2023-03-31 16:27:22,060 - ClientTrainer - INFO - Round 0 client-2 local train epoch [4/5]
2023-03-31 16:27:24,707 - ClientTrainer - INFO - Round 0 client-2 local test accuracy: 11.25%
2023-03-31 16:27:24,917 - ClientTrainer - INFO - Round 0 client-3 local train epoch [0/5]
2023-03-31 16:27:27,323 - ClientTrainer - INFO - Round 0 client-3 local train epoch [1/5]
2023-03-31 16:27:29,804 - ClientTrainer - INFO - Round 0 client-3 local train epoch [2/5]
2023-03-31 16:27:32,106 - ClientTrainer - INFO - Round 0 client-3 local train epoch [3/5]
2023-03-31 16:27:34,350 - ClientTrainer - INFO - Round 0 client-3 local train epoch [4/5]
2023-03-31 16:27:38,051 - ClientTrainer - INFO - Round 0 client-3 local test accuracy: 14.28%
2023-03-31 16:27:38,150 - ClientTrainer - INFO - Round 0 client-8 local train epoch [0/5]
2023-03-31 16:27:39,281 - ClientTrainer - INFO - Round 0 client-8 local train epoch [1/5]
2023-03-31 16:27:40,379 - ClientTrainer - INFO - Round 0 client-8 local train epoch [2/5]
2023-03-31 16:27:41,569 - ClientTrainer - INFO - Round 0 client-8 local train epoch [3/5]
2023-03-31 16:27:42,957 - ClientTrainer - INFO - Round 0 client-8 local train epoch [4/5]
2023-03-31 16:27:45,605 - ClientTrainer - INFO - Round 0 client-8 local test accuracy: 11.14%
2023-03-31 16:27:47,207 - ClientTrainer - INFO - Round 1 selected clients: [1, 5, 7]
2023-03-31 16:27:47,323 - ClientTrainer - INFO - Round 1 client-1 local train epoch [0/5]
2023-03-31 16:27:49,185 - ClientTrainer - INFO - Round 1 client-1 local train epoch [1/5]
2023-03-31 16:27:50,986 - ClientTrainer - INFO - Round 1 client-1 local train epoch [2/5]
2023-03-31 16:27:52,688 - ClientTrainer - INFO - Round 1 client-1 local train epoch [3/5]
2023-03-31 16:27:54,612 - ClientTrainer - INFO - Round 1 client-1 local train epoch [4/5]
2023-03-31 16:27:57,721 - ClientTrainer - INFO - Round 1 client-1 local test accuracy: 16.99%
2023-03-31 16:27:57,882 - ClientTrainer - INFO - Round 1 client-5 local train epoch [0/5]
2023-03-31 16:28:00,149 - ClientTrainer - INFO - Round 1 client-5 local train epoch [1/5]
2023-03-31 16:28:02,534 - ClientTrainer - INFO - Round 1 client-5 local train epoch [2/5]
2023-03-31 16:28:04,615 - ClientTrainer - INFO - Round 1 client-5 local train epoch [3/5]
2023-03-31 16:28:06,966 - ClientTrainer - INFO - Round 1 client-5 local train epoch [4/5]
2023-03-31 16:28:10,169 - ClientTrainer - INFO - Round 1 client-5 local test accuracy: 10.00%
2023-03-31 16:28:10,258 - ClientTrainer - INFO - Round 1 client-7 local train epoch [0/5]
2023-03-31 16:28:11,061 - ClientTrainer - INFO - Round 1 client-7 local train epoch [1/5]
2023-03-31 16:28:11,875 - ClientTrainer - INFO - Round 1 client-7 local train epoch [2/5]
2023-03-31 16:28:12,963 - ClientTrainer - INFO - Round 1 client-7 local train epoch [3/5]
2023-03-31 16:28:14,110 - ClientTrainer - INFO - Round 1 client-7 local train epoch [4/5]
2023-03-31 16:28:16,379 - ClientTrainer - INFO - Round 1 client-7 local test accuracy: 10.00%
2023-03-31 16:28:18,019 - ClientTrainer - INFO - Round 2 selected clients: [0, 7, 9]
2023-03-31 16:28:18,093 - ClientTrainer - INFO - Round 2 client-0 local train epoch [0/5]
2023-03-31 16:28:19,443 - ClientTrainer - INFO - Round 2 client-0 local train epoch [1/5]
2023-03-31 16:28:20,719 - ClientTrainer - INFO - Round 2 client-0 local train epoch [2/5]
2023-03-31 16:28:21,969 - ClientTrainer - INFO - Round 2 client-0 local train epoch [3/5]
2023-03-31 16:28:23,240 - ClientTrainer - INFO - Round 2 client-0 local train epoch [4/5]
2023-03-31 16:28:25,700 - ClientTrainer - INFO - Round 2 client-0 local test accuracy: 17.53%
2023-03-31 16:28:25,770 - ClientTrainer - INFO - Round 2 client-7 local train epoch [0/5]
2023-03-31 16:28:26,564 - ClientTrainer - INFO - Round 2 client-7 local train epoch [1/5]
2023-03-31 16:28:27,481 - ClientTrainer - INFO - Round 2 client-7 local train epoch [2/5]
2023-03-31 16:28:28,550 - ClientTrainer - INFO - Round 2 client-7 local train epoch [3/5]
2023-03-31 16:28:29,524 - ClientTrainer - INFO - Round 2 client-7 local train epoch [4/5]
2023-03-31 16:28:31,816 - ClientTrainer - INFO - Round 2 client-7 local test accuracy: 14.44%
2023-03-31 16:28:32,054 - ClientTrainer - INFO - Round 2 client-9 local train epoch [0/5]
2023-03-31 16:28:35,454 - ClientTrainer - INFO - Round 2 client-9 local train epoch [1/5]
2023-03-31 16:28:38,920 - ClientTrainer - INFO - Round 2 client-9 local train epoch [2/5]
2023-03-31 16:28:41,922 - ClientTrainer - INFO - Round 2 client-9 local train epoch [3/5]
2023-03-31 16:28:45,221 - ClientTrainer - INFO - Round 2 client-9 local train epoch [4/5]
2023-03-31 16:28:49,886 - ClientTrainer - INFO - Round 2 client-9 local test accuracy: 18.42%
